供应链能力矩阵（找齐供应商之前先把「名单」拆成「矩阵」·7维框架·2026-07-03；操作衔接见报告 E 节）,,,,,,,
一、7 个能力维度（同一家厂很少全强——先列维度再回查名单缺哪格）,,,,,,,
Heng Li Label（烟台·64分）,◐ 档案称含数码产线·设备未实见,◐ FDA/GMP/EU仅listing自述无编号,✗,● 镭射BOPP·珠光膜·防伪/模内标实见,◐ MIC钻石+SGS平台审核·ISO无编号,阶段2全筛（优先排程）,扩充池最高分·食品接触格唯一自报级候补·签约前须锁定双主体法人
Guangzhou Label Printing（62分）,◐ MOQ1件起旁证短单能力·数码设备未实证,◐ 主打食品饮料标签·无FDA/迁移测试证据,✗,● 压纹铝标·烫印·收缩套标实见,◐ 钻石5年+Audited证实·SGS/ISO字样无编号,阶段2全筛（优先排程）,gd主力·邮箱电话联系人可核·产能两套口径待询证
Shenzhen Dir（61分）,◐ UV轮转/柔印宣称·未点名数码机·MOQ1件旁证,◐ 食品标签品类在列·无合规证据,✗,● 全息/防伪/烫金标签实见,◐ Alibaba实地认证+金品8年·无第三方编号,阶段2全筛（优先排程）,gd池报价最透明·阶梯价页面实见·多分店需并主体
Shenzhen Zolo（58分）,? 印刷设备未披露,✗,◐ 可降解标签产品线宣称·无认证,● VOID/全息/蛋壳纸带实价实见,◐ ISO9001:2015+REACH证书图·无编号,阶段2全筛,specialty防伪主力·直接补矩阵特殊效果空格
Zhongshan Panda（56分）,◐ 6台HP Indigo宣称·产品页digital printing佐证,✗,◐ FSC材料/环保油墨宣称无编号,● 全息/镭射贴纸品类实见,◐ FSC/RoHS无编号·Trade Assurance间接佐证,阶段2全筛,MOQ500与报价带三方可核·低价档为引流需询证
Dongguan Junye（55分）,✗ 仅轮转+胶印·数码短单存疑,✗,◐ FSC文字自述无编号,● 3D滴胶贴纸带实价实见,◐ ISO9001/FSC自述·无编号无徽章,阶段2全筛,大批量适配·小批打样能力与数码缺口待询证
BRCGS/SQF 目录直查：扩充池 24 家均无收录（含全部 food-grade 候选）——该格仍空但已从「没问过」升级为「查过没有」；eco 格 0 家通过,,,,,,,
,,,,,,,
六、Accio 猎源批次核验（2026-07-03·用户提供 10 家 Accio AI sourcing 候选；核心目的=补 T11儿童贴纸/T13工业耐久 两条线索）,,,,,,,
候选,数码印刷,食品接触材质,环保/可堆肥,特殊效果,认证证据强度,Playbook阶段,判定
Jiangsu OPT（40分）,◐ HP Indigo 6.90+柔印宣称·未逐项实见,● 食品饮料化妆品保健品标签为主打品类,?未提,?未提,● UL File MH60774经UL Prospector官方库实证(组件级非成品)·其余ISO/SGS/FSC/Disney均自报无编号,阶段2全筛,T13工业/品牌标签候选成立·本轮唯一实证安全认证
Guangdong Boyue（38分）,● 数码印刷+UV覆膜实见,?未提,?未提,● 烫金planner贴·和纸胶带实见,● FSC-C167554经FSC官方库实证(纸材供应链非安全认证)·Sedex/RoHS自报,阶段2全筛,与超雅系近似命名易混·自身5+店铺需防重复报价
CPC/T11儿童贴纸核验结论：Accio标注的Stonedoing与Geyu两家CPC均为零实见证据（无证书图/编号/CPSC认可实验室测试报告）——不采信、不并入矩阵候选；T11空格仍为「查过没有」状态，未升级为「有候选」,,,,,,,
